# sequenceName	alias names
chr1	AC_000158.1
chrUn_GJ057319v1	NW_003098064.1
chrUn_GJ057320v1	NW_003098065.1
chrUn_GJ057321v1	NW_003098066.1
chrUn_GJ057322v1	NW_003098067.1
chrUn_GJ057323v1	NW_003098068.1
chrUn_GJ057324v1	NW_003098069.1
chrUn_GJ057325v1	NW_003098070.1
chrUn_GJ057326v1	NW_003098071.1
chrUn_GJ057327v1	NW_003098072.1
chrUn_GJ057328v1	NW_003098073.1
chrUn_GJ057329v1	NW_003098074.1
chrUn_GJ057330v1	NW_003098075.1
chrUn_GJ057331v1	NW_003098076.1
chrUn_GJ057332v1	NW_003098077.1
chrUn_GJ057333v1	NW_003098078.1
chrUn_GJ057335v1	NW_003098080.1
chrUn_GJ057336v1	NW_003098081.1
chrUn_GJ057337v1	NW_003098082.1
chrUn_GJ057338v1	NW_003098083.1
chrUn_GJ057339v1	NW_003098084.1
chrUn_GJ057341v1	NW_003098086.1
chrUn_GJ057343v1	NW_003098088.1
chrUn_GJ057344v1	NW_003098089.1
chrUn_GJ057345v1	NW_003098090.1
chrUn_GJ057346v1	NW_003098091.1
chrUn_GJ057348v1	NW_003098093.1
chrUn_GJ057349v1	NW_003098094.1
chrUn_GJ057350v1	NW_003098095.1
chrUn_GJ057351v1	NW_003098096.1
chrUn_GJ057352v1	NW_003098097.1
chrUn_GJ057353v1	NW_003098098.1
chrUn_GJ057355v1	NW_003098100.1
chrUn_GJ057356v1	NW_003098101.1
chrUn_GJ057357v1	NW_003098102.1
chrUn_GJ057358v1	NW_003098103.1
chrUn_GJ057359v1	NW_003098104.1
chrUn_GJ057360v1	NW_003098105.1
chrUn_GJ057361v1	NW_003098106.1
chrUn_GJ057362v1	NW_003098107.1
chrUn_GJ057363v1	NW_003098108.1
chrUn_GJ057365v1	NW_003098110.1
chrUn_GJ057368v1	NW_003098113.1
chrUn_GJ057370v1	NW_003098115.1
chrUn_GJ057371v1	NW_003098116.1
chrUn_GJ057372v1	NW_003098117.1
chrUn_GJ057373v1	NW_003098118.1
chrUn_GJ057374v1	NW_003098119.1
chrUn_GJ057375v1	NW_003098120.1
chrUn_GJ057376v1	NW_003098121.1
chrUn_GJ057377v1	NW_003098122.1
chrUn_GJ057378v1	NW_003098123.1
chrUn_GJ057379v1	NW_003098124.1
chrUn_GJ057380v1	NW_003098125.1
chrUn_GJ057381v1	NW_003098126.1
chrUn_GJ057382v1	NW_003098127.1
chrUn_GJ057384v1	NW_003098129.1
chrUn_GJ057385v1	NW_003098130.1
chrUn_GJ057386v1	NW_003098131.1
chrUn_GJ057387v1	NW_003098132.1
chrUn_GJ057388v1	NW_003098133.1
chrUn_GJ057389v1	NW_003098134.1
chrUn_GJ057392v1	NW_003098137.1
chrUn_GJ057393v1	NW_003098138.1
chrUn_GJ057395v1	NW_003098140.1
chrUn_GJ057396v1	NW_003098141.1
chrUn_GJ057397v1	NW_003098142.1
chrUn_GJ057398v1	NW_003098143.1
chrUn_GJ057399v1	NW_003098144.1
chrUn_GJ057400v1	NW_003098145.1
chrUn_GJ057401v1	NW_003098146.1
chrUn_GJ057402v1	NW_003098147.1
chrUn_GJ057403v1	NW_003098148.1
chrUn_GJ057404v1	NW_003098149.1
chrUn_GJ057405v1	NW_003098150.1
chrUn_GJ057406v1	NW_003098151.1
chrUn_GJ057407v1	NW_003098152.1
chrUn_GJ057408v1	NW_003098153.1
chrUn_GJ057409v1	NW_003098154.1
chrUn_GJ057411v1	NW_003098156.1
chrUn_GJ057412v1	NW_003098157.1
chrUn_GJ057413v1	NW_003098158.1
chrUn_GJ057415v1	NW_003098160.1
chrUn_GJ057416v1	NW_003098161.1
chrUn_GJ057418v1	NW_003098163.1
chrUn_GJ057419v1	NW_003098164.1
chrUn_GJ057420v1	NW_003098165.1
chrUn_GJ057421v1	NW_003098166.1
chrUn_GJ057422v1	NW_003098167.1
chrUn_GJ057423v1	NW_003098168.1
chrUn_GJ057424v1	NW_003098169.1
chrUn_GJ057425v1	NW_003098170.1
chrUn_GJ057426v1	NW_003098171.1
chrUn_GJ057427v1	NW_003098172.1
chrUn_GJ057428v1	NW_003098173.1
chrUn_GJ057429v1	NW_003098174.1
chrUn_GJ057430v1	NW_003098175.1
chrUn_GJ057431v1	NW_003098176.1
chrUn_GJ057432v1	NW_003098177.1
chrUn_GJ057434v1	NW_003098179.1
chrUn_GJ057435v1	NW_003098180.1
chrUn_GJ057436v1	NW_003098181.1
chrUn_GJ057437v1	NW_003098182.1
chrUn_GJ057439v1	NW_003098184.1
chrUn_GJ057440v1	NW_003098185.1
chrUn_GJ057441v1	NW_003098186.1
chrUn_GJ057442v1	NW_003098187.1
chrUn_GJ057443v1	NW_003098188.1
chrUn_GJ057444v1	NW_003098189.1
chrUn_GJ057447v1	NW_003098192.1
chrUn_GJ057449v1	NW_003098194.1
chrUn_GJ057450v1	NW_003098195.1
chrUn_GJ057451v1	NW_003098196.1
chrUn_GJ057453v1	NW_003098198.1
chrUn_GJ057454v1	NW_003098199.1
chrUn_GJ057455v1	NW_003098200.1
chrUn_GJ057457v1	NW_003098202.1
chrUn_GJ057458v1	NW_003098203.1
chrUn_GJ057459v1	NW_003098204.1
chrUn_GJ057460v1	NW_003098205.1
chrUn_GJ057461v1	NW_003098206.1
chrUn_GJ057462v1	NW_003098207.1
chrUn_GJ057464v1	NW_003098209.1
chrUn_GJ057465v1	NW_003098210.1
chrUn_GJ057466v1	NW_003098211.1
chrUn_GJ057467v1	NW_003098212.1
chrUn_GJ057470v1	NW_003098215.1
chrUn_GJ057471v1	NW_003098216.1
chrUn_GJ057476v1	NW_003098221.1
chrUn_GJ057477v1	NW_003098222.1
chrUn_GJ057478v1	NW_003098223.1
chrUn_GJ057479v1	NW_003098224.1
chrUn_GJ057480v1	NW_003098225.1
chrUn_GJ057481v1	NW_003098226.1
chrUn_GJ057482v1	NW_003098227.1
chrUn_GJ057483v1	NW_003098228.1
chrUn_GJ057484v1	NW_003098229.1
chrUn_GJ057485v1	NW_003098230.1
chrUn_GJ057486v1	NW_003098231.1
chrUn_GJ057487v1	NW_003098232.1
chrUn_GJ057488v1	NW_003098233.1
chrUn_GJ057489v1	NW_003098234.1
chrUn_GJ057490v1	NW_003098235.1
chrUn_GJ057491v1	NW_003098236.1
chrUn_GJ057492v1	NW_003098237.1
chrUn_GJ057493v1	NW_003098238.1
chrUn_GJ057494v1	NW_003098239.1
chrUn_GJ057495v1	NW_003098240.1
chrUn_GJ057496v1	NW_003098241.1
chrUn_GJ057497v1	NW_003098242.1
chrUn_GJ057498v1	NW_003098243.1
chrUn_GJ057499v1	NW_003098244.1
chrUn_GJ057500v1	NW_003098245.1
chrUn_GJ057501v1	NW_003098246.1
chrUn_GJ057502v1	NW_003098247.1
chrUn_GJ057503v1	NW_003098248.1
chrUn_GJ057504v1	NW_003098249.1
chrUn_GJ057505v1	NW_003098250.1
chrUn_GJ057506v1	NW_003098251.1
chrUn_GJ057507v1	NW_003098252.1
chrUn_GJ057508v1	NW_003098253.1
chrUn_GJ057509v1	NW_003098254.1
chrUn_GJ057510v1	NW_003098255.1
chrUn_GJ057511v1	NW_003098256.1
chrUn_GJ057512v1	NW_003098257.1
chrUn_GJ057513v1	NW_003098258.1
chrUn_GJ057514v1	NW_003098259.1
chrUn_GJ057515v1	NW_003098260.1
chrUn_GJ057516v1	NW_003098261.1
chrUn_GJ057517v1	NW_003098262.1
chrUn_GJ057518v1	NW_003098263.1
chrUn_GJ057519v1	NW_003098264.1
chrUn_GJ057520v1	NW_003098265.1
chrUn_GJ057521v1	NW_003098266.1
chrUn_GJ057522v1	NW_003098267.1
chrUn_GJ057523v1	NW_003098268.1
chrUn_GJ057524v1	NW_003098269.1
chrUn_GJ057525v1	NW_003098270.1
chrUn_GJ057526v1	NW_003098271.1
chrUn_GJ057527v1	NW_003098272.1
chrUn_GJ057528v1	NW_003098273.1
chrUn_GJ057529v1	NW_003098274.1
chrUn_GJ057530v1	NW_003098275.1
chrUn_GJ057531v1	NW_003098276.1
chrUn_GJ057532v1	NW_003098277.1
chrUn_GJ057533v1	NW_003098278.1
chrUn_GJ057534v1	NW_003098279.1
chrUn_GJ057535v1	NW_003098280.1
chrUn_GJ057536v1	NW_003098281.1
chrUn_GJ057537v1	NW_003098282.1
chrUn_GJ057538v1	NW_003098283.1
chrUn_GJ057540v1	NW_003098285.1
chrUn_GJ057541v1	NW_003098286.1
chrUn_GJ057542v1	NW_003098287.1
chrUn_GJ057543v1	NW_003098288.1
chrUn_GJ057544v1	NW_003098289.1
chrUn_GJ057545v1	NW_003098290.1
chrUn_GJ057546v1	NW_003098291.1
chrUn_GJ057547v1	NW_003098292.1
chrUn_GJ057548v1	NW_003098293.1
chrUn_GJ057549v1	NW_003098294.1
chrUn_GJ057550v1	NW_003098295.1
chrUn_GJ057552v1	NW_003098297.1
chrUn_GJ057553v1	NW_003098298.1
chrUn_GJ057554v1	NW_003098299.1
chrUn_GJ057555v1	NW_003098300.1
chrUn_GJ057556v1	NW_003098301.1
chrUn_GJ057557v1	NW_003098302.1
chrUn_GJ057558v1	NW_003098303.1
chrUn_GJ057559v1	NW_003098304.1
chrUn_GJ057560v1	NW_003098305.1
chrUn_GJ057561v1	NW_003098306.1
chrUn_GJ057562v1	NW_003098307.1
chrUn_GJ057563v1	NW_003098308.1
chrUn_GJ057564v1	NW_003098309.1
chrUn_GJ057565v1	NW_003098310.1
chrUn_GJ057566v1	NW_003098311.1
chrUn_GJ057567v1	NW_003098312.1
chrUn_GJ057568v1	NW_003098313.1
chrUn_GJ057569v1	NW_003098314.1
chrUn_GJ057570v1	NW_003098315.1
chrUn_GJ057571v1	NW_003098316.1
chrUn_GJ057572v1	NW_003098317.1
chrUn_GJ057574v1	NW_003098319.1
chrUn_GJ057575v1	NW_003098320.1
chrUn_GJ057578v1	NW_003098323.1
chrUn_GJ057579v1	NW_003098324.1
chrUn_GJ057580v1	NW_003098325.1
chrUn_GJ057581v1	NW_003098326.1
chrUn_GJ057582v1	NW_003098327.1
chrUn_GJ057583v1	NW_003098328.1
chrUn_GJ057584v1	NW_003098329.1
chrUn_GJ057585v1	NW_003098330.1
chrUn_GJ057587v1	NW_003098332.1
chrUn_GJ057589v1	NW_003098334.1
chrUn_GJ057590v1	NW_003098335.1
chrUn_GJ057591v1	NW_003098336.1
chrUn_GJ057592v1	NW_003098337.1
chrUn_GJ057593v1	NW_003098338.1
chrUn_GJ057594v1	NW_003098339.1
chrUn_GJ057595v1	NW_003098340.1
chrUn_GJ057596v1	NW_003098341.1
chrUn_GJ057598v1	NW_003098343.1
chrUn_GJ057599v1	NW_003098344.1
chrUn_GJ057600v1	NW_003098345.1
chrUn_GJ057601v1	NW_003098346.1
chrUn_GJ057602v1	NW_003098347.1
chrUn_GJ057603v1	NW_003098348.1
chrUn_GJ057604v1	NW_003098349.1
chrUn_GJ057605v1	NW_003098350.1
chrUn_GJ057606v1	NW_003098351.1
chrUn_GJ057607v1	NW_003098352.1
chrUn_GJ057608v1	NW_003098353.1
chrUn_GJ057609v1	NW_003098354.1
chrUn_GJ057610v1	NW_003098355.1
chrUn_GJ057611v1	NW_003098356.1
chrUn_GJ057612v1	NW_003098357.1
chrUn_GJ057613v1	NW_003098358.1
chrUn_GJ057614v1	NW_003098359.1
chrUn_GJ057615v1	NW_003098360.1
chrUn_GJ057616v1	NW_003098361.1
chrUn_GJ057617v1	NW_003098362.1
chrUn_GJ057618v1	NW_003098363.1
chrUn_GJ057619v1	NW_003098364.1
chrUn_GJ057620v1	NW_003098365.1
chrUn_GJ057621v1	NW_003098366.1
chrUn_GJ057622v1	NW_003098367.1
chrUn_GJ057623v1	NW_003098368.1
chrUn_GJ057624v1	NW_003098369.1
chrUn_GJ057625v1	NW_003098370.1
chrUn_GJ057626v1	NW_003098371.1
chrUn_GJ057627v1	NW_003098372.1
chrUn_GJ057628v1	NW_003098373.1
chrUn_GJ057629v1	NW_003098374.1
chrUn_GJ057630v1	NW_003098375.1
chrUn_GJ057631v1	NW_003098376.1
chrUn_GJ057632v1	NW_003098377.1
chrUn_GJ057633v1	NW_003098378.1
chrUn_GJ057634v1	NW_003098379.1
chrUn_GJ057635v1	NW_003098380.1
chrUn_GJ057637v1	NW_003098382.1
chrUn_GJ057640v1	NW_003098385.1
chrUn_GJ057641v1	NW_003098386.1
chrUn_GJ057642v1	NW_003098387.1
chrUn_GJ057643v1	NW_003098388.1
chrUn_GJ057644v1	NW_003098389.1
chrUn_GJ057645v1	NW_003098390.1
chrUn_GJ057646v1	NW_003098391.1
chrUn_GJ057647v1	NW_003098392.1
chrUn_GJ057648v1	NW_003098393.1
chrUn_GJ057649v1	NW_003098394.1
chrUn_GJ057650v1	NW_003098395.1
chrUn_GJ057652v1	NW_003098397.1
chrUn_GJ057653v1	NW_003098398.1
chrUn_GJ057654v1	NW_003098399.1
chrUn_GJ057655v1	NW_003098400.1
chrUn_GJ057656v1	NW_003098401.1
chrUn_GJ057657v1	NW_003098402.1
chrUn_GJ057659v1	NW_003098404.1
chrUn_GJ057660v1	NW_003098405.1
chrUn_GJ057661v1	NW_003098406.1
chrUn_GJ057662v1	NW_003098407.1
chrUn_GJ057663v1	NW_003098408.1
chrUn_GJ057664v1	NW_003098409.1
chrUn_GJ057665v1	NW_003098410.1
chrUn_GJ057666v1	NW_003098411.1
chrUn_GJ057668v1	NW_003098413.1
chrUn_GJ057670v1	NW_003098415.1
chrUn_GJ057671v1	NW_003098416.1
chrUn_GJ057672v1	NW_003098417.1
chrUn_GJ057673v1	NW_003098418.1
chrUn_GJ057674v1	NW_003098419.1
chrUn_GJ057675v1	NW_003098420.1
chrUn_GJ057676v1	NW_003098421.1
chrUn_GJ057677v1	NW_003098422.1
chrUn_GJ057678v1	NW_003098423.1
chrUn_GJ057679v1	NW_003098424.1
chrUn_GJ057680v1	NW_003098425.1
chrUn_GJ057681v1	NW_003098426.1
chrUn_GJ057682v1	NW_003098427.1
chrUn_GJ057684v1	NW_003098429.1
chrUn_GJ057685v1	NW_003098430.1
chrUn_GJ057686v1	NW_003098431.1
chrUn_GJ057687v1	NW_003098432.1
chrUn_GJ057688v1	NW_003098433.1
chrUn_GJ057689v1	NW_003098434.1
chrUn_GJ057690v1	NW_003098435.1
chrUn_GJ057691v1	NW_003098436.1
chrUn_GJ057692v1	NW_003098437.1
chrUn_GJ057693v1	NW_003098438.1
chrUn_GJ057694v1	NW_003098439.1
chrUn_GJ057695v1	NW_003098440.1
chrUn_GJ057696v1	NW_003098441.1
chrUn_GJ057697v1	NW_003098442.1
chrUn_GJ057698v1	NW_003098443.1
chrUn_GJ057699v1	NW_003098444.1
chrUn_GJ057700v1	NW_003098445.1
chrUn_GJ057701v1	NW_003098446.1
chrUn_GJ057702v1	NW_003098447.1
chrUn_GJ057703v1	NW_003098448.1
chrUn_GJ057704v1	NW_003098449.1
chrUn_GJ057705v1	NW_003098450.1
chrUn_GJ057706v1	NW_003098451.1
chrUn_GJ057707v1	NW_003098452.1
chrUn_GJ057708v1	NW_003098453.1
chrUn_GJ057709v1	NW_003098454.1
chrUn_GJ057710v1	NW_003098455.1
chrUn_GJ057711v1	NW_003098456.1
chrUn_GJ057712v1	NW_003098457.1
chrUn_GJ057714v1	NW_003098459.1
chrUn_GJ057715v1	NW_003098460.1
chrUn_GJ057716v1	NW_003098461.1
chrUn_GJ057717v1	NW_003098462.1
chrUn_GJ057718v1	NW_003098463.1
chrUn_GJ057719v1	NW_003098464.1
chrUn_GJ057720v1	NW_003098465.1
chrUn_GJ057721v1	NW_003098466.1
chrUn_GJ057722v1	NW_003098467.1
chrUn_GJ057723v1	NW_003098468.1
chrUn_GJ057724v1	NW_003098469.1
chrUn_GJ057725v1	NW_003098470.1
chrUn_GJ057726v1	NW_003098471.1
chrUn_GJ057727v1	NW_003098472.1
chrUn_GJ057728v1	NW_003098473.1
chrUn_GJ057729v1	NW_003098474.1
chrUn_GJ057730v1	NW_003098475.1
chrUn_GJ057731v1	NW_003098476.1
chrUn_GJ057732v1	NW_003098477.1
chrUn_GJ057733v1	NW_003098478.1
chrUn_GJ057734v1	NW_003098479.1
chrUn_GJ057736v1	NW_003098481.1
chrUn_GJ057737v1	NW_003098482.1
chrUn_GJ057738v1	NW_003098483.1
chrUn_GJ057739v1	NW_003098484.1
chrUn_GJ057740v1	NW_003098485.1
chrUn_GJ057741v1	NW_003098486.1
chrUn_GJ057742v1	NW_003098487.1
chrUn_GJ057743v1	NW_003098488.1
chrUn_GJ057744v1	NW_003098489.1
chrUn_GJ057745v1	NW_003098490.1
chrUn_GJ057746v1	NW_003098491.1
chrUn_GJ057747v1	NW_003098492.1
chrUn_GJ057748v1	NW_003098493.1
chrUn_GJ057749v1	NW_003098494.1
chrUn_GJ057750v1	NW_003098495.1
chrUn_GJ057751v1	NW_003098496.1
chrUn_GJ057752v1	NW_003098497.1
chrUn_GJ057753v1	NW_003098498.1
chrUn_GJ057754v1	NW_003098499.1
chrUn_GJ057755v1	NW_003098500.1
chrUn_GJ057756v1	NW_003098501.1
chrUn_GJ057757v1	NW_003098502.1
chrUn_GJ057758v1	NW_003098503.1
chrUn_GJ057759v1	NW_003098504.1
chrUn_GJ057760v1	NW_003098505.1
chrUn_GJ057761v1	NW_003098506.1
chrUn_GJ057762v1	NW_003098507.1
chrUn_GJ057763v1	NW_003098508.1
chrUn_GJ057764v1	NW_003098509.1
chrUn_GJ057765v1	NW_003098510.1
chrUn_GJ057766v1	NW_003098511.1
chrUn_GJ057767v1	NW_003098512.1
chrUn_GJ057768v1	NW_003098513.1
chrUn_GJ057769v1	NW_003098514.1
chrUn_GJ057770v1	NW_003098515.1
chrUn_GJ057772v1	NW_003098517.1
chrUn_GJ057773v1	NW_003098518.1
chrUn_GJ057774v1	NW_003098519.1
chrUn_GJ057775v1	NW_003098520.1
chrUn_GJ057776v1	NW_003098521.1
chrUn_GJ057777v1	NW_003098522.1
chrUn_GJ057778v1	NW_003098523.1
chrUn_GJ057780v1	NW_003098525.1
chrUn_GJ057781v1	NW_003098526.1
chrUn_GJ057784v1	NW_003098529.1
chrUn_GJ057785v1	NW_003098530.1
chrUn_GJ057786v1	NW_003098531.1
chrUn_GJ057787v1	NW_003098532.1
chrUn_GJ057788v1	NW_003098533.1
chrUn_GJ057789v1	NW_003098534.1
chrUn_GJ057790v1	NW_003098535.1
chrUn_GJ057791v1	NW_003098536.1
chrUn_GJ057792v1	NW_003098537.1
chrUn_GJ057794v1	NW_003098539.1
chrUn_GJ057795v1	NW_003098540.1
chrUn_GJ057796v1	NW_003098541.1
chrUn_GJ057797v1	NW_003098542.1
chrUn_GJ057802v1	NW_003098547.1
chrUn_GJ057803v1	NW_003098548.1
chrUn_GJ057807v1	NW_003098552.1
chrUn_GJ057808v1	NW_003098553.1
chrUn_GJ057809v1	NW_003098554.1
chrUn_GJ057810v1	NW_003098555.1
chrUn_GJ057811v1	NW_003098556.1
chrUn_GJ057812v1	NW_003098557.1
chrUn_GJ057813v1	NW_003098558.1
chrUn_GJ057814v1	NW_003098559.1
chrUn_GJ057815v1	NW_003098560.1
chrUn_GJ057816v1	NW_003098561.1
chrUn_GJ057817v1	NW_003098562.1
chrUn_GJ057818v1	NW_003098563.1
chrUn_GJ057819v1	NW_003098564.1
chrUn_GJ057820v1	NW_003098565.1
chrUn_GJ057821v1	NW_003098566.1
chrUn_GJ057822v1	NW_003098567.1
chrUn_GJ057823v1	NW_003098568.1
chrUn_GJ057825v1	NW_003098570.1
chrUn_GJ057827v1	NW_003098572.1
chrUn_GJ057828v1	NW_003098573.1
chrUn_GJ057829v1	NW_003098574.1
chrUn_GJ057830v1	NW_003098575.1
chrUn_GJ057832v1	NW_003098577.1
chrUn_GJ057833v1	NW_003098578.1
chrUn_GJ057834v1	NW_003098579.1
chrUn_GJ057835v1	NW_003098580.1
chrUn_GJ057836v1	NW_003098581.1
chrUn_GJ057837v1	NW_003098582.1
chrUn_GJ057838v1	NW_003098583.1
chrUn_GJ057839v1	NW_003098584.1
chrUn_GJ057840v1	NW_003098585.1
chrUn_GJ057841v1	NW_003098586.1
chrUn_GJ057842v1	NW_003098587.1
chrUn_GJ057843v1	NW_003098588.1
chrUn_GJ057844v1	NW_003098589.1
chrUn_GJ057845v1	NW_003098590.1
chrUn_GJ057846v1	NW_003098591.1
chrUn_GJ057847v1	NW_003098592.1
chrUn_GJ057848v1	NW_003098593.1
chrUn_GJ057849v1	NW_003098594.1
chrUn_GJ057850v1	NW_003098595.1
chrUn_GJ057851v1	NW_003098596.1
chrUn_GJ057852v1	NW_003098597.1
chrUn_GJ057853v1	NW_003098598.1
chrUn_GJ057854v1	NW_003098599.1
chrUn_GJ057856v1	NW_003098601.1
