TfName,GeneName,Family,UniProt,Source,TaxGroup,Species
MA0033.1.FOXL1,FOXL1,Forkhead box (FOX) factors,Q12952,SELEX,vertebrates,Homo sapiens
MA0034.1.Gam1,Gam1,Myb/SANT domain factors,Q96464,SELEX,plants,Hordeum vulgare
MA0035.1.Gata1,Gata1,GATA-type zinc fingers,P17679,SELEX,vertebrates,Mus musculus
MA0036.1.GATA2,GATA2,GATA-type zinc fingers,P23769,SELEX,vertebrates,Homo sapiens
MA0037.1.GATA3,GATA3,GATA-type zinc fingers,P23771,SELEX,vertebrates,Homo sapiens
MA0038.1.Gfi1,Gfi1,More than 3 adjacent zinc finger factors,Q07120,SELEX,vertebrates,Rattus norvegicus
MA0039.1.Klf4,Klf4,Three-zinc finger Kruppel-related factors,Q60793,SELEX,vertebrates,Mus musculus
MA0040.1.Foxq1,Foxq1,Forkhead box (FOX) factors,Q63244,SELEX,vertebrates,Rattus norvegicus
MA0041.1.Foxd3,Foxd3,Forkhead box (FOX) factors,Q63245,SELEX,vertebrates,Rattus norvegicus
MA0042.1.FOXI1,FOXI1,Forkhead box (FOX) factors,Q12951,SELEX,vertebrates,Homo sapiens
MA0043.1.HLF,HLF,C/EBP-related factors,Q16534,SELEX,vertebrates,Homo sapiens
MA0044.1.HMG-1,HMG-1,,Q41026,SELEX,plants,Pisum sativum
MA0045.1.HMG-I_Y,HMG-I/Y,,Q43877,SELEX,plants,Pisum sativum
MA0046.1.HNF1A,HNF1A,POU domain factors,P20823,COMPILED,vertebrates,Vertebrata
MA0047.1.Foxa2,Foxa2,Forkhead box (FOX) factors,P32182,COMPILED,vertebrates,Rattus norvegicus
MA0048.1.NHLH1,NHLH1,Tal-related factors,Q02575,SELEX,vertebrates,Homo sapiens
MA0049.1.hb,hb,Factors with multiple dispersed zinc fingers,P05084,COMPILED,insects,Drosophila melanogaster
MA0050.1.IRF1,IRF1,Interferon-regulatory factors,P10914,SELEX,vertebrates,Homo sapiens
MA0051.1.IRF2,IRF2,Interferon-regulatory factors,P14316,SELEX,vertebrates,Homo sapiens
MA0052.1.MEF2A,MEF2A,Regulators of differentiation,Q02078,SELEX,vertebrates,Homo sapiens
MA0053.1.MNB1A,MNB1A,Dof-type,P38564,SELEX,plants,Zea mays
MA0054.1.myb.Ph3,myb.Ph3,Myb/SANT domain factors,Q02994,SELEX,plants,Petunia x hybrida
MA0056.1.MZF1,MZF1,More than 3 adjacent zinc finger factors,P28698,SELEX,vertebrates,Homo sapiens
MA0057.1.MZF1(var.2),MZF1(var.2),More than 3 adjacent zinc finger factors,P28698,SELEX,vertebrates,Homo sapiens
MA0058.1.MAX,MAX,bHLH-ZIP factors,P61244,SELEX,vertebrates,Homo sapiens
MA0059.1.MAX::MYC,MAX+MYC,bHLH-ZIP factors,P61244;P01106,SELEX,vertebrates,Homo sapiens
MA0060.1.NFYA,NFYA,NFY,P23511,COMPILED,vertebrates,Bos taurus
MA0105.1.NFKB1,NFKB1,NF-kappaB-related factors,P19838,COMPILED,vertebrates,Homo sapiens
MA0062.1.GABPA,GABPA,Ets-related factors,Q06546,COMPILED,vertebrates,Homo sapiens
MA0063.1.Nkx2-5,Nkx2-5,NK-related factors,P42582,SELEX,vertebrates,Mus musculus
MA0064.1.PBF,PBF,Dof-type,O24463,SELEX,plants,Zea mays
MA0065.1.PPARG::RXRA,PPARG+RXRA,RXR-related receptors (NR2);Thyroid hormone receptor-related factors (NR1),P19793;P37231,SELEX,vertebrates,Homo sapiens
MA0066.1.PPARG,PPARG,Thyroid hormone receptor-related factors (NR1),P37231,SELEX,vertebrates,Homo sapiens
MA0067.1.Pax2,Pax2,Paired domain only,P32114,SELEX,vertebrates,Mus musculus
MA0068.1.Pax4,Pax4,Paired plus homeo domain,P32115,SELEX,vertebrates,Mus musculus
MA0069.1.PAX6,PAX6,Paired plus homeo domain,P26367,SELEX,vertebrates,Homo sapiens
MA0070.1.PBX1,PBX1,TALE-type homeo domain factors,P40424,SELEX,vertebrates,Homo sapiens
MA0071.1.RORA,RORA,Thyroid hormone receptor-related factors (NR1),P35398,SELEX,vertebrates,Homo sapiens
MA0072.1.RORA(var.2),RORA(var.2),Thyroid hormone receptor-related factors (NR1),P35398,SELEX,vertebrates,Homo sapiens
MA0073.1.RREB1,RREB1,Factors with multiple dispersed zinc fingers,Q92766,SELEX,vertebrates,Homo sapiens
MA0074.1.RXRA::VDR,RXRA+VDR,RXR-related receptors (NR2);Thyroid hormone receptor-related factors (NR1),P19793;P11473,SELEX,vertebrates,Homo sapiens
MA0075.1.Prrx2,Prrx2,Paired-related HD factors,Q06348,SELEX,vertebrates,Mus musculus
MA0076.1.ELK4,ELK4,Ets-related factors,P28324,SELEX,vertebrates,Homo sapiens
MA0077.1.SOX9,SOX9,SOX-related factors,P48436,SELEX,vertebrates,Homo sapiens
MA0078.1.Sox17,Sox17,SOX-related factors,Q61473,SELEX,vertebrates,Mus musculus
MA0079.1.SP1,SP1,Three-zinc finger Krüppel-related factors,P08047,SELEX,vertebrates,Homo sapiens
MA0080.1.SPI1,SPI1,Ets-related factors,P17947,SELEX,vertebrates,Homo sapiens
MA0081.1.SPIB,SPIB,Ets-related factors,Q01892,SELEX,vertebrates,Homo sapiens
MA0082.1.squamosa,squamosa,,Q38742,SELEX,plants,Antirrhinum majus
MA0083.1.SRF,SRF,Responders to external signals (SRF/RLM1),P11831,SELEX,vertebrates,Homo sapiens
MA0084.1.SRY,SRY,SOX-related factors,Q05066,SELEX,vertebrates,Homo sapiens
MA0085.1.Su(H),Su(H),,P28159,COMPILED,insects,Drosophila melanogaster
MA0086.1.sna,sna,More than 3 adjacent zinc finger factors,P08044,SELEX,insects,Drosophila melanogaster
MA0087.1.Sox5,Sox5,SOX-related factors,P35710,SELEX,vertebrates,Mus musculus
MA0088.1.znf143,znf143,More than 3 adjacent zinc finger factors,Q91853,COMPILED,vertebrates,Xenopus laevis
MA0089.1.MAFG::NFE2L1,MAFG+NFE2L1,Jun-related factors;Maf-related factors,Q90889;Q5ZL67,SELEX,vertebrates,Gallus gallus
MA0090.1.TEAD1,TEAD1,TEF-1-related factors,P28347,COMPILED,vertebrates,Homo sapiens
MA0091.1.TAL1::TCF3,TAL1+TCF3,E2A-related factors;Tal-related factors,P17542;P15923,SELEX,vertebrates,Homo sapiens
MA0092.1.Hand1::Tcf3,Hand1+Tcf3,E2A-related factors;Tal-related factors,Q64279;P15806,SELEX,vertebrates,Mus musculus
MA0093.1.USF1,USF1,bHLH-ZIP factors,P22415,SELEX,vertebrates,Homo sapiens
MA0094.1.Ubx,Ubx,HOX-related factors,P83949,SELEX,insects,Drosophila melanogaster
MA0095.1.YY1,YY1,More than 3 adjacent zinc finger factors,P25490,COMPILED,vertebrates,Homo sapiens
MA0096.1.bZIP910,bZIP910,,O22676,SELEX,plants,Antirrhinum majus
MA0097.1.bZIP911,bZIP911,,O22677,SELEX,plants,Antirrhinum majus
MA0098.1.ETS1,ETS1,Ets-related factors,P14921,SELEX,vertebrates,Homo sapiens
MA0099.1.JUN::FOS,JUN+FOS,Fos-related factors;Jun-related factors,P01101,SELEX,vertebrates,Mus musculus
MA0100.1.Myb,Myb,Myb/SANT domain factors,P06876,SELEX,vertebrates,Mus musculus
MA0101.1.REL,REL,NF-kappaB-related factors,Q04864,SELEX,vertebrates,Homo sapiens
MA0102.1.Cebpa,Cebpa,C/EBP-related factors,P53566,COMPILED,vertebrates,Mus musculus
MA0103.1.ZEB1,ZEB1,HD-ZF factors,P36197,SELEX,vertebrates,Gallus gallus
MA0104.1.Mycn,Mycn,bHLH-ZIP factors,P03966,SELEX,vertebrates,Mus musculus
MA0105.2.NFKB1,NFKB1,NF-kappaB-related factors,P19838,SELEX,vertebrates,Homo sapiens
MA0106.1.TP53,TP53,p53-related factors,P04637,SELEX,vertebrates,Homo sapiens
MA0107.1.RELA,RELA,NF-kappaB-related factors,Q04206,SELEX,vertebrates,Homo sapiens
MA0108.1.TBP,TBP,TBP-related factors,,,vertebrates,
MA0108.2.TBP,TBP,TBP-related factors,P20226,,vertebrates,
MA0109.1.HLTF,HLTF,Myb/SANT domain factors,Q95216,SELEX,vertebrates,Oryctolagus cuniculus
MA0110.1.ATHB-5,ATHB-5,Homeo,P46667,SELEX,plants,Arabidopsis thaliana
MA0111.1.Spz1,Spz1,,Q99MY0,SELEX,vertebrates,Mus musculus
MA0112.1.ESR1,ESR1,Steroid hormone receptors (NR3),P03372,COMPILED,vertebrates,Bos taurus
MA0113.1.NR3C1,NR3C1,Steroid hormone receptors (NR3),P04150,COMPILED,vertebrates,Gallus gallus
MA0114.1.HNF4A,HNF4A,RXR-related receptors (NR2),P41235,COMPILED,vertebrates,
MA0115.1.NR1H2::RXRA,NR1H2+RXRA,RXR-related receptors (NR2);Thyroid hormone receptor-related factors (NR1),P55055;P19793,SELEX,vertebrates,Homo sapiens
MA0116.1.Znf423,Znf423,Factors with multiple dispersed zinc fingers,O08961,SELEX,vertebrates,Rattus norvegicus
MA0117.1.Mafb,Mafb,Maf-related factors,P54842,SELEX,vertebrates,Rattus norvegicus
MA0118.1.Macho-1,Macho-1,,Q9GRA5,SELEX,urochordates,Halocynthia roretzi
MA0119.1.NFIC::TLX1,NFIC+TLX1,NK-related factors;Nuclear factor 1,P08651;P31314,SELEX,vertebrates,Homo sapiens
MA0120.1.id1,id1,,O65215,SELEX,plants,Zea mays
MA0121.1.ARR10,ARR10,Myb/SANT domain factors,O49397,SELEX,plants,Arabidopsis thaliana
MA0122.1.Nkx3-2,Nkx3-2,NK-related factors,P97503,SELEX,vertebrates,Mus musculus
MA0123.1.abi4,abi4,,Q8L7W9,SELEX,plants,Zea mays
MA0124.1.NKX3-1,NKX3-1,NK-related factors,Q99801,SELEX,vertebrates,Homo sapiens
MA0125.1.Nobox,Nobox,Paired-related HD factors,Q8VIH1,SELEX,vertebrates,Mus musculus
MA0126.1.ovo,ovo,More than 3 adjacent zinc finger factors,P51521,SELEX,insects,Drosophila melanogaster
MA0127.1.PEND,PEND,,Q5DW98,SELEX,plants,Pisum sativum
MA0128.1.EmBP-1,EmBP-1,,P25032,SELEX,plants,Triticum aestivum
MA0129.1.TGA1A,TGA1A,,P14232,SELEX,plants,Nicotiana sp.
MA0130.1.ZNF354C,ZNF354C,More than 3 adjacent zinc finger factors,Q86Y25,SELEX,vertebrates,Homo sapiens
MA0131.1.HINFP,HINFP,Factors with multiple dispersed zinc fingers,Q9BQA5,SELEX,vertebrates,Homo sapiens
MA0132.1.Pdx1,Pdx1,HOX-related factors,P52946,SELEX,vertebrates,Mus musculus
MA0135.1.Lhx3,Lhx3,HD-LIM factors,P50481,SELEX,vertebrates,Mus musculus
MA0136.1.ELF5,ELF5,Ets-related factors,Q9UKW6,SELEX,vertebrates,Mus musculus
MA0137.1.STAT1,STAT1,STAT factors,Q53XW4,COMPILED,vertebrates,Homo sapiens
MA0138.1.REST,REST,Factors with multiple dispersed zinc fingers,Q13127,COMPILED,vertebrates,Homo sapiens
MA0139.1.CTCF,CTCF,More than 3 adjacent zinc finger factors,P49711,ChIP-seq,vertebrates,Homo sapiens
MA0140.1.Tal1::Gata1,Tal1+Gata1,GATA-type zinc fingers;Tal-related factors,P17679;P22091,ChIP-seq,vertebrates,Mus musculus
MA0141.1.Esrrb,Esrrb,Steroid hormone receptors (NR3),Q61539,ChIP-seq,vertebrates,Mus musculus
MA0142.1.Pou5f1::Sox2,Pou5f1+Sox2,POU domain factors;SOX-related factors,P20263;P48432,ChIP-seq,vertebrates,Mus musculus
MA0143.1.Sox2,Sox2,SOX-related factors,P48432,ChIP-seq,vertebrates,Mus musculus
MA0144.1.Stat3,Stat3,STAT factors,P42227,ChIP-seq,vertebrates,Mus musculus
MA0145.1.Tcfcp2l1,Tcfcp2l1,CP2-related factors,Q3UNW5,ChIP-seq,vertebrates,Mus musculus
MA0146.1.Zfx,Zfx,More than 3 adjacent zinc finger factors,P17012,ChIP-seq,vertebrates,Mus musculus
MA0147.1.Myc,Myc,bHLH-ZIP factors,P01108,ChIP-seq,vertebrates,Mus musculus
MA0148.1.FOXA1,FOXA1,Forkhead box (FOX) factors,P55317,ChIP-seq,vertebrates,Homo sapiens
MA0149.1.EWSR1-FLI1,EWSR1-FLI1,Ets-related factors,F1JVV7;F1JVV8,ChIP-seq,vertebrates,Homo sapiens
MA0062.2.Gabpa,Gabpa,Ets-related factors,Q91YY8,ChIP-seq,vertebrates,Mus musculus
MA0035.2.Gata1,Gata1,GATA-type zinc fingers,P17679,ChIP-seq,vertebrates,Mus musculus
MA0039.2.Klf4,Klf4,Three-zinc finger Kruppel-related factors,Q60793,ChIP-seq,vertebrates,Mus musculus
MA0138.2.REST,REST,Factors with multiple dispersed zinc fingers,Q13127,ChIP-seq,vertebrates,Homo sapiens
MA0002.2.RUNX1,RUNX1,Runt-related factors,Q01196,ChIP-seq,vertebrates,Mus musculus
MA0137.2.STAT1,STAT1,STAT factors,Q53XW4,ChIP-seq,vertebrates,Homo sapiens
MA0104.2.Mycn,Mycn,bHLH-ZIP factors,P03966,ChIP-seq,vertebrates,Mus musculus
MA0047.2.Foxa2,Foxa2,Forkhead box (FOX) factors,P35583,ChIP-seq,vertebrates,Mus musculus
MA0112.2.ESR1,ESR1,Steroid hormone receptors (NR3),P03372,ChIP-seq,vertebrates,Homo sapiens
MA0065.2.Pparg::Rxra,Pparg+Rxra,RXR-related receptors (NR2);Thyroid hormone receptor-related factors (NR1),P37238;P28700,ChIP-seq,vertebrates,Mus musculus
MA0150.1.NFE2L2,NFE2L2,Jun-related factors,Q16236,COMPILED,vertebrates,Homo sapiens
MA0151.1.Arid3a,Arid3a,ARID-related factors,Q62431,SELEX,vertebrates,Mus musculus
MA0152.1.NFATC2,NFATC2,NFAT-related factors,Q13469,COMPILED,vertebrates,Homo sapiens
MA0153.1.HNF1B,HNF1B,POU domain factors,P35680,COMPILED,vertebrates,Homo sapiens
MA0154.1.EBF1,EBF1,Early B-Cell Factor-related factors,Q07802,COMPILED,vertebrates,Mus musculus
MA0155.1.INSM1,INSM1,Factors with multiple dispersed zinc fingers,Q01101,COMPILED,vertebrates,Homo sapiens
MA0156.1.FEV,FEV,Ets-related factors,Q99581,COMPILED,vertebrates,Homo sapiens
MA0157.1.FOXO3,FOXO3,Forkhead box (FOX) factors,O43524,COMPILED,vertebrates,Homo sapiens
MA0158.1.HOXA5,HOXA5,HOX-related factors,P20719,COMPILED,vertebrates,Homo sapiens
MA0159.1.RARA::RXRA,RARA+RXRA,RXR-related receptors (NR2);Thyroid hormone receptor-related factors (NR1),P10276;P19793,COMPILED,vertebrates,Homo sapiens
MA0160.1.NR4A2,NR4A2,NGFI-B-related receptors (NR4),P43354,COMPILED,vertebrates,Homo sapiens
MA0161.1.NFIC,NFIC,Nuclear factor 1,P08651,High-throughput SELEX SAGE,vertebrates,Homo sapiens
MA0162.1.Egr1,Egr1,Three-zinc finger Kruppel-related factors,P08046,bacterial 1-hybrid,vertebrates,Mus musculus
MA0163.1.PLAG1,PLAG1,More than 3 adjacent zinc finger factors,Q6DJT9,bacterial 1-hybrid,vertebrates,Homo sapiens
MA0164.1.Nr2e3,Nr2e3,RXR-related receptors (NR2),Q9QXZ7,SELEX,vertebrates,Mus musculus
MA0080.2.SPI1,SPI1,Ets-related factors,P17947,COMPILED,vertebrates,Homo sapiens
MA0018.2.CREB1,CREB1,CREB-related factors,P16220,COMPILED,vertebrates,Homo sapiens
MA0099.2.FOS::JUN,FOS+JUN,Fos-related factors;Jun-related factors,P01100;P05412,COMPILED,vertebrates,Homo sapiens
MA0079.2.SP1,SP1,Three-zinc finger Krüppel-related factors,P08047,COMPILED,vertebrates,Homo sapiens
MA0102.2.CEBPA,CEBPA,C/EBP-related factors,P53566,COMPILED,vertebrates,Mus musculus
MA0165.1.Abd-B,Abd-B,HOX-related factors,P09087,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0166.1.Antp,Antp,HOX-related factors,P02833,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0167.1.Awh,Awh,,Q8IRC7,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0168.1.B-H1,B-H1,HOX-related factors,Q24255,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0169.1.B-H2,B-H2,HOX-related factors,Q24256,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0170.1.C15,C15,,Q7KS72,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0171.1.CG11085,CG11085,,Q9VYL0,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0172.1.CG11294,CG11294,,Q9W3C6,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0173.1.CG11617,CG11617,,Q9VPL4,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0174.1.Dbx,Dbx,,Q9W064,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0175.1.lms,lms,,Q8MZ02,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0176.1.CG15696-RA,CG15696-RA,,Q9VDH9,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0177.1.CG18599,CG18599,,Q9VEA3,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0178.1.CG32105,CG32105,,Q9VTW5,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0179.1.CG32532,CG32532,,Q9VWH1,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0180.1.Vsx2,Vsx2,Paired-related HD factors,Q9W4B3,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0181.1.Vsx1,Vsx1,Paired-related HD factors,Q5U1D9,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0182.1.CG4328-RA,CG4328-RA,,Q9VTW3,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0183.1.HHEX,HHEX,,Q9VDF0,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0184.1.CG9876,CG9876,,Q7YU61,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0185.1.Deaf1,Deaf1,DEAF,Q24180,DNaseI footprinting,insects,Drosophila melanogaster
MA0186.1.Dfd,Dfd,HOX-related factors,P07548,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0187.1.Dll,Dll,,P20009,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0188.1.Dr,Dr,NK-related factors,Q03372,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0189.1.E5,E5,,Q9VFQ3,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0190.1.Gsc,Gsc,Paired-related HD factors,P54366,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0191.1.HGTX,HGTX,NK-related factors,Q9NHP8,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0192.1.Hmx,Hmx,NK-related factors,Q9VEI9,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0193.1.schlank,schlank,,Q9W423,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0194.1.Lim1,Lim1,HD-LIM factors,Q9V472,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0195.1.Lim3,Lim3,HD-LIM factors,Q9VJ02,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0196.1.NK7.1,NK7.1,NK-related factors,O61640,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0197.1.nub,nub,POU domain factors,P31368,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0198.1.OdsH,OdsH,Paired-related HD factors,O96616,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0199.1.Optix,Optix,HD-SINE factors,Q95RW8,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0200.1.Pph13,Pph13,,Q8T0V5,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0201.1.Ptx1,Ptx1,Paired-related HD factors,O18400,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0202.1.Rx,Rx,Paired-related HD factors,Q9W2Q1,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0203.1.Scr,Scr,HOX-related factors,P09077,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0204.1.Six4,Six4,HD-SINE factors,Q9Y1P6,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0205.1.Trl,Trl,,Q08605,DNaseI footprinting,insects,Drosophila melanogaster
MA0206.1.abd-A,abd-A,HOX-related factors,P29555,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0207.1.achi,achi,,A1Z916,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0208.1.al,al,Paired-related HD factors,Q06453,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0209.1.ap,ap,,P29673,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0210.1.ara,ara,TALE-type homeo domain factors,Q24248,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0211.1.bap,bap,NK-related factors,P22809,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0212.1.bcd,bcd,Paired-related HD factors,P09081,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0213.1.brk,brk,,Q9XTN4,DNaseI footprinting,insects,Drosophila melanogaster
MA0214.1.bsh,bsh,NK-related factors,Q04787,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0215.1.btn,btn,,Q9U984,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0216.1.cad,cad,HOX-related factors,P09085,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0217.1.caup,caup,TALE-type homeo domain factors,P54269,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0218.1.ct,ct,HD-CUT factors,P10180,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0219.1.ems,ems,NK-related factors,P18488,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0220.1.en,en,NK-related factors,P02836,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0221.1.eve,eve,HOX-related factors,P06602,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0222.1.exd,exd,TALE-type homeo domain factors,P40427,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0224.1.exex,exex,,Q9VSC2,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0225.1.ftz,ftz,HOX-related factors,P02835,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0226.1.hbn,hbn,,Q9W2P8,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0227.1.hth,hth,TALE-type homeo domain factors,O46339,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0228.1.ind,ind,,O96620,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0229.1.inv,inv,NK-related factors,P05527,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0230.1.lab,lab,HOX-related factors,P10105,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0231.1.lbe,lbe,,Q9VDA1,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0232.1.lbl,lbl,,P91626,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0233.1.mirr,mirr,,O01667,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0234.1.oc,oc,Paired-related HD factors,P22810,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0235.1.onecut,onecut,HD-CUT factors,Q9NJB5,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0236.1.otp,otp,Paired-related HD factors,P56672,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0237.1.pan,pan,High Mobility Group box (HMG),P91943,DNaseI footprinting,insects,Drosophila melanogaster
MA0238.1.pb,pb,HOX-related factors,P31264,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0239.1.prd,prd,,P23758,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0240.1.repo,repo,,Q24477,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0241.1.ro,ro,,P10181,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0242.1.Bgb::run,Bgb+run,Runt-related factors,Q24040,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0243.1.sd,sd,,P30052,DNaseI footprinting,insects,Drosophila melanogaster
MA0244.1.slbo,slbo,C/EBP-related factors,Q02637,DNaseI footprinting,insects,Drosophila melanogaster
MA0245.1.slou,slou,NK-related factors,P22807,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0246.1.so,so,HD-SINE factors,Q27350,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0247.1.tin,tin,Homeo,P22711,bacterial 1-hybrid,insects,Drosophila melanogaster
MA0248.1.tup,tup,HD-LIM factors,Q9VJ37,bacterial 1-hybrid,insects,Drosophila melanogaster
