TfName,GeneName,Family,UniProt,Source,TaxGroup,Species
ATOH1_HUMAN.H11MO.0.B,ATOH1,Tal-related factors,Q92858,ChIP-Seq,vertebrates,Homo sapiens
BACH1_HUMAN.H11MO.0.A,BACH1,Jun-related factors,O14867,ChIP-Seq,vertebrates,Homo sapiens
BACH2_HUMAN.H11MO.0.A,BACH2,Jun-related factors,Q9BYV9,ChIP-Seq,vertebrates,Homo sapiens
BARH1_HUMAN.H11MO.0.D,BARHL1,NK-related factors,Q9BZE3,HT-SELEX,vertebrates,Homo sapiens
BARH2_HUMAN.H11MO.0.D,BARHL2,NK-related factors,Q9NY43,HT-SELEX,vertebrates,Homo sapiens
BARX1_HUMAN.H11MO.0.D,BARX1,NK-related factors,Q9HBU1,ChIP-Seq,vertebrates,Homo sapiens
BARX2_HUMAN.H11MO.0.D,BARX2,NK-related factors,Q9UMQ3,Integrative,vertebrates,Homo sapiens
BATF3_HUMAN.H11MO.0.B,BATF3,B-ATF-related factors,Q9NR55,ChIP-Seq,vertebrates,Homo sapiens
BATF_HUMAN.H11MO.0.A,BATF,B-ATF-related factors,Q16520,ChIP-Seq,vertebrates,Homo sapiens
BATF_HUMAN.H11MO.1.A,BATF,B-ATF-related factors,Q16520,ChIP-Seq,vertebrates,Homo sapiens
BC11A_HUMAN.H11MO.0.A,BCL11A,Factors with multiple dispersed zinc fingers,Q9H165,ChIP-Seq,vertebrates,Homo sapiens
BCL6B_HUMAN.H11MO.0.D,BCL6B,More than 3 adjacent zinc finger factors,Q8N143,HT-SELEX,vertebrates,Homo sapiens
BCL6_HUMAN.H11MO.0.A,BCL6,More than 3 adjacent zinc finger factors,P41182,ChIP-Seq,vertebrates,Homo sapiens
BHA15_HUMAN.H11MO.0.B,BHLHA15,Tal-related factors,Q7RTS1,ChIP-Seq,vertebrates,Homo sapiens
BHE22_HUMAN.H11MO.0.D,BHLHE22,Tal-related factors,Q8NFJ8,HT-SELEX,vertebrates,Homo sapiens
BHE23_HUMAN.H11MO.0.D,BHLHE23,Tal-related factors,Q8NDY6,HT-SELEX,vertebrates,Homo sapiens
BHE40_HUMAN.H11MO.0.A,BHLHE40,Hairy-related factors,O14503,ChIP-Seq,vertebrates,Homo sapiens
BHE41_HUMAN.H11MO.0.D,BHLHE41,Hairy-related factors,Q9C0J9,Integrative,vertebrates,Homo sapiens
BMAL1_HUMAN.H11MO.0.A,ARNTL,PAS domain factors,O00327,ChIP-Seq,vertebrates,Homo sapiens
BPTF_HUMAN.H11MO.0.D,BPTF,,Q12830,Integrative,vertebrates,Homo sapiens
BRAC_HUMAN.H11MO.0.A,T,Brachyury-related factors,O15178,ChIP-Seq,vertebrates,Homo sapiens
BRAC_HUMAN.H11MO.1.B,T,Brachyury-related factors,O15178,ChIP-Seq,vertebrates,Homo sapiens
BRCA1_HUMAN.H11MO.0.D,BRCA1,,P38398,Integrative,vertebrates,Homo sapiens
BSH_HUMAN.H11MO.0.D,BSX,NK-related factors,Q3C1V8,HT-SELEX,vertebrates,Homo sapiens
CDC5L_HUMAN.H11MO.0.D,CDC5L,Myb/SANT domain factors,Q99459,Integrative,vertebrates,Homo sapiens
CDX1_HUMAN.H11MO.0.C,CDX1,HOX-related factors,P47902,Integrative,vertebrates,Homo sapiens
CDX2_HUMAN.H11MO.0.A,CDX2,HOX-related factors,Q99626,ChIP-Seq,vertebrates,Homo sapiens
CEBPA_HUMAN.H11MO.0.A,CEBPA,C/EBP-related,P49715,ChIP-Seq,vertebrates,Homo sapiens
CEBPB_HUMAN.H11MO.0.A,CEBPB,C/EBP-related,P17676,ChIP-Seq,vertebrates,Homo sapiens
CEBPD_HUMAN.H11MO.0.C,CEBPD,C/EBP-related,P49716,ChIP-Seq,vertebrates,Homo sapiens
CEBPE_HUMAN.H11MO.0.A,CEBPE,C/EBP-related,Q15744,Integrative,vertebrates,Homo sapiens
CEBPG_HUMAN.H11MO.0.B,CEBPG,C/EBP-related,P53567,ChIP-Seq,vertebrates,Homo sapiens
CEBPZ_HUMAN.H11MO.0.D,CEBPZ,,Q03701,Integrative,vertebrates,Homo sapiens
CENPB_HUMAN.H11MO.0.D,CENPB,,P07199,HT-SELEX,vertebrates,Homo sapiens
CLOCK_HUMAN.H11MO.0.C,CLOCK,PAS domain factors,O15516,ChIP-Seq,vertebrates,Homo sapiens
COE1_HUMAN.H11MO.0.A,EBF1,Early B-Cell Factor-related factors,Q9UH73,ChIP-Seq,vertebrates,Homo sapiens
COT1_HUMAN.H11MO.0.C,NR2F1,RXR-related receptors (NR2),P10589,ChIP-Seq,vertebrates,Homo sapiens
COT1_HUMAN.H11MO.1.C,NR2F1,RXR-related receptors (NR2),P10589,ChIP-Seq,vertebrates,Homo sapiens
COT2_HUMAN.H11MO.0.A,NR2F2,RXR-related receptors (NR2),P24468,ChIP-Seq,vertebrates,Homo sapiens
COT2_HUMAN.H11MO.1.A,NR2F2,RXR-related receptors (NR2),P24468,ChIP-Seq,vertebrates,Homo sapiens
CPEB1_HUMAN.H11MO.0.D,CPEB1,,Q9BZB8,HT-SELEX,vertebrates,Homo sapiens
CR3L1_HUMAN.H11MO.0.D,CREB3L1,CREB-related factors,Q96BA8,HT-SELEX,vertebrates,Homo sapiens
CR3L2_HUMAN.H11MO.0.D,CREB3L2,CREB-related factors,Q70SY1,HT-SELEX,vertebrates,Homo sapiens
CREB1_HUMAN.H11MO.0.A,CREB1,CREB-related factors,P16220,ChIP-Seq,vertebrates,Homo sapiens
CREB3_HUMAN.H11MO.0.D,CREB3,CREB-related factors,O43889,HT-SELEX,vertebrates,Homo sapiens
CREB5_HUMAN.H11MO.0.D,CREB5,Jun-related factors,Q02930,HT-SELEX,vertebrates,Homo sapiens
CREM_HUMAN.H11MO.0.C,CREM,CREB-related factors,Q03060,Integrative,vertebrates,Homo sapiens
CRX_HUMAN.H11MO.0.B,CRX,Paired-related HD factors,O43186,ChIP-Seq,vertebrates,Homo sapiens
CTCFL_HUMAN.H11MO.0.A,CTCFL,More than 3 adjacent zinc finger factors,Q8NI51,ChIP-Seq,vertebrates,Homo sapiens
CTCF_HUMAN.H11MO.0.A,CTCF,More than 3 adjacent zinc finger factors,P49711,ChIP-Seq,vertebrates,Homo sapiens
CUX1_HUMAN.H11MO.0.C,CUX1,HD-CUT factors,P39880,Integrative,vertebrates,Homo sapiens
CUX2_HUMAN.H11MO.0.D,CUX2,HD-CUT factors,O14529,ChIP-Seq,vertebrates,Homo sapiens
CXXC1_HUMAN.H11MO.0.D,CXXC1,CpG-binding proteins,Q9P0U4,Integrative,vertebrates,Homo sapiens
DBP_HUMAN.H11MO.0.B,DBP,C/EBP-related,Q10586,Integrative,vertebrates,Homo sapiens
DDIT3_HUMAN.H11MO.0.D,DDIT3,C/EBP-related,P35638,ChIP-Seq,vertebrates,Homo sapiens
DLX1_HUMAN.H11MO.0.D,DLX1,NK-related factors,P56177,HT-SELEX,vertebrates,Homo sapiens
DLX2_HUMAN.H11MO.0.D,DLX2,NK-related factors,Q07687,Integrative,vertebrates,Homo sapiens
DLX3_HUMAN.H11MO.0.C,DLX3,NK-related factors,O60479,Integrative,vertebrates,Homo sapiens
DLX4_HUMAN.H11MO.0.D,DLX4,NK-related factors,Q92988,HT-SELEX,vertebrates,Homo sapiens
DLX5_HUMAN.H11MO.0.D,DLX5,NK-related factors,P56178,ChIP-Seq,vertebrates,Homo sapiens
DLX6_HUMAN.H11MO.0.D,DLX6,NK-related factors,P56179,HT-SELEX,vertebrates,Homo sapiens
DMBX1_HUMAN.H11MO.0.D,DMBX1,Paired-related HD factors,Q8NFW5,HT-SELEX,vertebrates,Homo sapiens
DMRT1_HUMAN.H11MO.0.D,DMRT1,DMRT,Q9Y5R6,ChIP-Seq,vertebrates,Homo sapiens
DPRX_HUMAN.H11MO.0.D,DPRX,Paired-related HD factors,A6NFQ7,HT-SELEX,vertebrates,Homo sapiens
DRGX_HUMAN.H11MO.0.D,DRGX,Paired-related HD factors,A6NNA5,HT-SELEX,vertebrates,Homo sapiens
DUX4_HUMAN.H11MO.0.A,DUX4,Paired-related HD factors,Q9UBX2,ChIP-Seq,vertebrates,Homo sapiens
DUXA_HUMAN.H11MO.0.D,DUXA,Paired-related HD factors,A6NLW8,HT-SELEX,vertebrates,Homo sapiens
E2F1_HUMAN.H11MO.0.A,E2F1,E2F-related factors,Q01094,ChIP-Seq,vertebrates,Homo sapiens
E2F2_HUMAN.H11MO.0.B,E2F2,E2F-related factors,Q14209,Integrative,vertebrates,Homo sapiens
E2F3_HUMAN.H11MO.0.A,E2F3,E2F-related factors,O00716,ChIP-Seq,vertebrates,Homo sapiens
E2F4_HUMAN.H11MO.0.A,E2F4,E2F-related factors,Q16254,ChIP-Seq,vertebrates,Homo sapiens
E2F4_HUMAN.H11MO.1.A,E2F4,E2F-related factors,Q16254,ChIP-Seq,vertebrates,Homo sapiens
E2F5_HUMAN.H11MO.0.B,E2F5,E2F-related factors,Q15329,Integrative,vertebrates,Homo sapiens
E2F6_HUMAN.H11MO.0.A,E2F6,E2F-related factors,O75461,ChIP-Seq,vertebrates,Homo sapiens
E2F7_HUMAN.H11MO.0.B,E2F7,E2F-related factors,Q96AV8,ChIP-Seq,vertebrates,Homo sapiens
E2F8_HUMAN.H11MO.0.D,E2F8,E2F-related factors,A0AVK6,HT-SELEX,vertebrates,Homo sapiens
E4F1_HUMAN.H11MO.0.D,E4F1,Factors with multiple dispersed zinc fingers,Q66K89,Integrative,vertebrates,Homo sapiens
EGR1_HUMAN.H11MO.0.A,EGR1,Three-zinc finger Krüppel-related factors,P18146,ChIP-Seq,vertebrates,Homo sapiens
EGR2_HUMAN.H11MO.0.A,EGR2,Three-zinc finger Krüppel-related factors,P11161,ChIP-Seq,vertebrates,Homo sapiens
EGR2_HUMAN.H11MO.1.A,EGR2,Three-zinc finger Krüppel-related factors,P11161,ChIP-Seq,vertebrates,Homo sapiens
EGR3_HUMAN.H11MO.0.D,EGR3,Three-zinc finger Krüppel-related factors,Q06889,Integrative,vertebrates,Homo sapiens
EGR4_HUMAN.H11MO.0.D,EGR4,Three-zinc finger Krüppel-related factors,Q05215,Integrative,vertebrates,Homo sapiens
EHF_HUMAN.H11MO.0.B,EHF,Ets-related factors,Q9NZC4,ChIP-Seq,vertebrates,Homo sapiens
ELF1_HUMAN.H11MO.0.A,ELF1,Ets-related factors,P32519,ChIP-Seq,vertebrates,Homo sapiens
ELF2_HUMAN.H11MO.0.C,ELF2,Ets-related factors,Q15723,ChIP-Seq,vertebrates,Homo sapiens
ELF3_HUMAN.H11MO.0.A,ELF3,Ets-related factors,P78545,ChIP-Seq,vertebrates,Homo sapiens
ELF5_HUMAN.H11MO.0.A,ELF5,Ets-related factors,Q9UKW6,ChIP-Seq,vertebrates,Homo sapiens
ELK1_HUMAN.H11MO.0.B,ELK1,Ets-related factors,P19419,ChIP-Seq,vertebrates,Homo sapiens
ELK3_HUMAN.H11MO.0.D,ELK3,Ets-related factors,P41970,Integrative,vertebrates,Homo sapiens
ELK4_HUMAN.H11MO.0.A,ELK4,Ets-related factors,P28324,ChIP-Seq,vertebrates,Homo sapiens
EMX1_HUMAN.H11MO.0.D,EMX1,NK-related factors,Q04741,HT-SELEX,vertebrates,Homo sapiens
EMX2_HUMAN.H11MO.0.D,EMX2,NK-related factors,Q04743,HT-SELEX,vertebrates,Homo sapiens
EOMES_HUMAN.H11MO.0.D,EOMES,TBrain-related factors,O95936,ChIP-Seq,vertebrates,Homo sapiens
EPAS1_HUMAN.H11MO.0.B,EPAS1,PAS domain factors,Q99814,ChIP-Seq,vertebrates,Homo sapiens
ERG_HUMAN.H11MO.0.A,ERG,Ets-related factors,P11308,ChIP-Seq,vertebrates,Homo sapiens
ERR1_HUMAN.H11MO.0.A,ESRRA,Steroid hormone receptors (NR3),P11474,ChIP-Seq,vertebrates,Homo sapiens
ERR2_HUMAN.H11MO.0.A,ESRRB,Steroid hormone receptors (NR3),O95718,Integrative,vertebrates,Homo sapiens
ERR3_HUMAN.H11MO.0.B,ESRRG,Steroid hormone receptors (NR3),P62508,Integrative,vertebrates,Homo sapiens
ESR1_HUMAN.H11MO.0.A,ESR1,Steroid hormone receptors (NR3),P03372,ChIP-Seq,vertebrates,Homo sapiens
ESR1_HUMAN.H11MO.1.A,ESR1,Steroid hormone receptors (NR3),P03372,ChIP-Seq,vertebrates,Homo sapiens
ESR2_HUMAN.H11MO.0.A,ESR2,Steroid hormone receptors (NR3),Q92731,ChIP-Seq,vertebrates,Homo sapiens
ESR2_HUMAN.H11MO.1.A,ESR2,Steroid hormone receptors (NR3),Q92731,ChIP-Seq,vertebrates,Homo sapiens
ESX1_HUMAN.H11MO.0.D,ESX1,Paired-related HD factors,Q8N693,HT-SELEX,vertebrates,Homo sapiens
ETS1_HUMAN.H11MO.0.A,ETS1,Ets-related factors,P14921,ChIP-Seq,vertebrates,Homo sapiens
ETS2_HUMAN.H11MO.0.B,ETS2,Ets-related factors,P15036,ChIP-Seq,vertebrates,Homo sapiens
ETV1_HUMAN.H11MO.0.A,ETV1,Ets-related factors,P50549,ChIP-Seq,vertebrates,Homo sapiens
ETV2_HUMAN.H11MO.0.B,ETV2,Ets-related factors,O00321,ChIP-Seq,vertebrates,Homo sapiens
ETV3_HUMAN.H11MO.0.D,ETV3,Ets-related factors,P41162,HT-SELEX,vertebrates,Homo sapiens
ETV4_HUMAN.H11MO.0.B,ETV4,Ets-related factors,P43268,ChIP-Seq,vertebrates,Homo sapiens
ETV5_HUMAN.H11MO.0.C,ETV5,Ets-related factors,P41161,ChIP-Seq,vertebrates,Homo sapiens
ETV6_HUMAN.H11MO.0.D,ETV6,Ets-related factors,P41212,ChIP-Seq,vertebrates,Homo sapiens
ETV7_HUMAN.H11MO.0.D,ETV7,Ets-related factors,Q9Y603,ChIP-Seq,vertebrates,Homo sapiens
EVI1_HUMAN.H11MO.0.B,MECOM,Factors with multiple dispersed zinc fingers,Q03112,Integrative,vertebrates,Homo sapiens
FEV_HUMAN.H11MO.0.B,FEV,Ets-related factors,Q99581,ChIP-Seq,vertebrates,Homo sapiens
FEZF1_HUMAN.H11MO.0.C,FEZF1,More than 3 adjacent zinc finger factors,A0PJY2,ChIP-Seq,vertebrates,Homo sapiens
FIGLA_HUMAN.H11MO.0.D,FIGLA,Tal-related factors,Q6QHK4,HT-SELEX,vertebrates,Homo sapiens
FLI1_HUMAN.H11MO.0.A,FLI1,Ets-related factors,Q01543,ChIP-Seq,vertebrates,Homo sapiens
FLI1_HUMAN.H11MO.1.A,FLI1,Ets-related factors,Q01543,ChIP-Seq,vertebrates,Homo sapiens
FOSB_HUMAN.H11MO.0.A,FOSB,Fos-related factors,P53539,ChIP-Seq,vertebrates,Homo sapiens
FOSL1_HUMAN.H11MO.0.A,FOSL1,Fos-related factors,P15407,ChIP-Seq,vertebrates,Homo sapiens
FOSL2_HUMAN.H11MO.0.A,FOSL2,Fos-related factors,P15408,ChIP-Seq,vertebrates,Homo sapiens
FOS_HUMAN.H11MO.0.A,FOS,Fos-related factors,P01100,ChIP-Seq,vertebrates,Homo sapiens
FOXA1_HUMAN.H11MO.0.A,FOXA1,Forkhead box (FOX) factors,P55317,ChIP-Seq,vertebrates,Homo sapiens
FOXA2_HUMAN.H11MO.0.A,FOXA2,Forkhead box (FOX) factors,Q9Y261,ChIP-Seq,vertebrates,Homo sapiens
FOXA3_HUMAN.H11MO.0.B,FOXA3,Forkhead box (FOX) factors,P55318,ChIP-Seq,vertebrates,Homo sapiens
FOXB1_HUMAN.H11MO.0.D,FOXB1,Forkhead box (FOX) factors,Q99853,HT-SELEX,vertebrates,Homo sapiens
FOXC1_HUMAN.H11MO.0.C,FOXC1,Forkhead box (FOX) factors,Q12948,Integrative,vertebrates,Homo sapiens
FOXC2_HUMAN.H11MO.0.D,FOXC2,Forkhead box (FOX) factors,Q99958,Integrative,vertebrates,Homo sapiens
FOXD1_HUMAN.H11MO.0.D,FOXD1,Forkhead box (FOX) factors,Q16676,Integrative,vertebrates,Homo sapiens
FOXD2_HUMAN.H11MO.0.D,FOXD2,Forkhead box (FOX) factors,O60548,HT-SELEX,vertebrates,Homo sapiens
FOXD3_HUMAN.H11MO.0.D,FOXD3,Forkhead box (FOX) factors,Q9UJU5,ChIP-Seq,vertebrates,Homo sapiens
FOXF1_HUMAN.H11MO.0.D,FOXF1,Forkhead box (FOX) factors,Q12946,Integrative,vertebrates,Homo sapiens
FOXF2_HUMAN.H11MO.0.D,FOXF2,Forkhead box (FOX) factors,Q12947,Integrative,vertebrates,Homo sapiens
FOXG1_HUMAN.H11MO.0.D,FOXG1,Forkhead box (FOX) factors,P55316,HT-SELEX,vertebrates,Homo sapiens
FOXH1_HUMAN.H11MO.0.A,FOXH1,Forkhead box (FOX) factors,O75593,ChIP-Seq,vertebrates,Homo sapiens
FOXI1_HUMAN.H11MO.0.B,FOXI1,Forkhead box (FOX) factors,Q12951,Integrative,vertebrates,Homo sapiens
FOXJ2_HUMAN.H11MO.0.C,FOXJ2,Forkhead box (FOX) factors,Q9P0K8,Integrative,vertebrates,Homo sapiens
FOXJ3_HUMAN.H11MO.0.A,FOXJ3,Forkhead box (FOX) factors,Q9UPW0,Integrative,vertebrates,Homo sapiens
FOXJ3_HUMAN.H11MO.1.B,FOXJ3,Forkhead box (FOX) factors,Q9UPW0,Integrative,vertebrates,Homo sapiens
FOXK1_HUMAN.H11MO.0.A,FOXK1,Forkhead box (FOX) factors,P85037,ChIP-Seq,vertebrates,Homo sapiens
FOXL1_HUMAN.H11MO.0.D,FOXL1,Forkhead box (FOX) factors,Q12952,HT-SELEX,vertebrates,Homo sapiens
FOXM1_HUMAN.H11MO.0.A,FOXM1,Forkhead box (FOX) factors,Q08050,ChIP-Seq,vertebrates,Homo sapiens
FOXO1_HUMAN.H11MO.0.A,FOXO1,Forkhead box (FOX) factors,Q12778,ChIP-Seq,vertebrates,Homo sapiens
FOXO3_HUMAN.H11MO.0.B,FOXO3,Forkhead box (FOX) factors,O43524,ChIP-Seq,vertebrates,Homo sapiens
FOXO4_HUMAN.H11MO.0.C,FOXO4,Forkhead box (FOX) factors,P98177,Integrative,vertebrates,Homo sapiens
FOXO6_HUMAN.H11MO.0.D,FOXO6,Forkhead box (FOX) factors,A8MYZ6,HT-SELEX,vertebrates,Homo sapiens
FOXP1_HUMAN.H11MO.0.A,FOXP1,Forkhead box (FOX) factors,Q9H334,ChIP-Seq,vertebrates,Homo sapiens
FOXP2_HUMAN.H11MO.0.C,FOXP2,Forkhead box (FOX) factors,O15409,ChIP-Seq,vertebrates,Homo sapiens
FOXP3_HUMAN.H11MO.0.D,FOXP3,Forkhead box (FOX) factors,Q9BZS1,Integrative,vertebrates,Homo sapiens
FOXQ1_HUMAN.H11MO.0.C,FOXQ1,Forkhead box (FOX) factors,Q9C009,Integrative,vertebrates,Homo sapiens
FUBP1_HUMAN.H11MO.0.D,FUBP1,,Q96AE4,Integrative,vertebrates,Homo sapiens
GABPA_HUMAN.H11MO.0.A,GABPA,Ets-related factors,Q06546,ChIP-Seq,vertebrates,Homo sapiens
GATA1_HUMAN.H11MO.0.A,GATA1,GATA-type zinc fingers,P15976,ChIP-Seq,vertebrates,Homo sapiens
GATA1_HUMAN.H11MO.1.A,GATA1,GATA-type zinc fingers,P15976,ChIP-Seq,vertebrates,Homo sapiens
GATA2_HUMAN.H11MO.0.A,GATA2,GATA-type zinc fingers,P23769,ChIP-Seq,vertebrates,Homo sapiens
GATA2_HUMAN.H11MO.1.A,GATA2,GATA-type zinc fingers,P23769,ChIP-Seq,vertebrates,Homo sapiens
GATA3_HUMAN.H11MO.0.A,GATA3,GATA-type zinc fingers,P23771,ChIP-Seq,vertebrates,Homo sapiens
GATA4_HUMAN.H11MO.0.A,GATA4,GATA-type zinc fingers,P43694,ChIP-Seq,vertebrates,Homo sapiens
GATA5_HUMAN.H11MO.0.D,GATA5,GATA-type zinc fingers,Q9BWX5,Integrative,vertebrates,Homo sapiens
GATA6_HUMAN.H11MO.0.A,GATA6,GATA-type zinc fingers,Q92908,ChIP-Seq,vertebrates,Homo sapiens
GBX1_HUMAN.H11MO.0.D,GBX1,HOX-related factors,Q14549,HT-SELEX,vertebrates,Homo sapiens
GBX2_HUMAN.H11MO.0.D,GBX2,HOX-related factors,P52951,HT-SELEX,vertebrates,Homo sapiens
GCM1_HUMAN.H11MO.0.D,GCM1,GCM factors,Q9NP62,Integrative,vertebrates,Homo sapiens
GCM2_HUMAN.H11MO.0.D,GCM2,GCM factors,O75603,HT-SELEX,vertebrates,Homo sapiens
GCR_HUMAN.H11MO.0.A,NR3C1,Steroid hormone receptors (NR3),P04150,ChIP-Seq,vertebrates,Homo sapiens
GCR_HUMAN.H11MO.1.A,NR3C1,Steroid hormone receptors (NR3),P04150,ChIP-Seq,vertebrates,Homo sapiens
GFI1B_HUMAN.H11MO.0.A,GFI1B,More than 3 adjacent zinc finger factors,Q5VTD9,ChIP-Seq,vertebrates,Homo sapiens
GFI1_HUMAN.H11MO.0.C,GFI1,More than 3 adjacent zinc finger factors,Q99684,Integrative,vertebrates,Homo sapiens
GLI1_HUMAN.H11MO.0.D,GLI1,More than 3 adjacent zinc finger factors,P08151,ChIP-Seq,vertebrates,Homo sapiens
GLI2_HUMAN.H11MO.0.D,GLI2,More than 3 adjacent zinc finger factors,P10070,Integrative,vertebrates,Homo sapiens
GLI3_HUMAN.H11MO.0.B,GLI3,More than 3 adjacent zinc finger factors,P10071,Integrative,vertebrates,Homo sapiens
GLIS1_HUMAN.H11MO.0.D,GLIS1,More than 3 adjacent zinc finger factors,Q8NBF1,HT-SELEX,vertebrates,Homo sapiens
GLIS2_HUMAN.H11MO.0.D,GLIS2,More than 3 adjacent zinc finger factors,Q9BZE0,HT-SELEX,vertebrates,Homo sapiens
GLIS3_HUMAN.H11MO.0.D,GLIS3,More than 3 adjacent zinc finger factors,Q8NEA6,Integrative,vertebrates,Homo sapiens
GMEB2_HUMAN.H11MO.0.D,GMEB2,GMEB,Q9UKD1,HT-SELEX,vertebrates,Homo sapiens
GRHL1_HUMAN.H11MO.0.D,GRHL1,Grainyhead-related factors,Q9NZI5,ChIP-Seq,vertebrates,Homo sapiens
GRHL2_HUMAN.H11MO.0.A,GRHL2,Grainyhead-related factors,Q6ISB3,ChIP-Seq,vertebrates,Homo sapiens
GSC2_HUMAN.H11MO.0.D,GSC2,Paired-related HD factors,O15499,HT-SELEX,vertebrates,Homo sapiens
GSC_HUMAN.H11MO.0.D,GSC,Paired-related HD factors,P56915,HT-SELEX,vertebrates,Homo sapiens
GSX1_HUMAN.H11MO.0.D,GSX1,HOX-related factors,Q9H4S2,HT-SELEX,vertebrates,Homo sapiens
GSX2_HUMAN.H11MO.0.D,GSX2,HOX-related factors,Q9BZM3,HT-SELEX,vertebrates,Homo sapiens
HAND1_HUMAN.H11MO.0.D,HAND1,Tal-related factors,O96004,ChIP-Seq,vertebrates,Homo sapiens
HAND1_HUMAN.H11MO.1.D,HAND1,Tal-related factors,O96004,ChIP-Seq,vertebrates,Homo sapiens
HBP1_HUMAN.H11MO.0.D,HBP1,SOX-related factors,O60381,Integrative,vertebrates,Homo sapiens
HEN1_HUMAN.H11MO.0.C,NHLH1,Tal-related factors,Q02575,Integrative,vertebrates,Homo sapiens
HES1_HUMAN.H11MO.0.D,HES1,Hairy-related factors,Q14469,Integrative,vertebrates,Homo sapiens
HES5_HUMAN.H11MO.0.D,HES5,Hairy-related factors,Q5TA89,HT-SELEX,vertebrates,Homo sapiens
HES7_HUMAN.H11MO.0.D,HES7,Hairy-related factors,Q9BYE0,HT-SELEX,vertebrates,Homo sapiens
HESX1_HUMAN.H11MO.0.D,HESX1,Paired-related HD factors,Q9UBX0,Integrative,vertebrates,Homo sapiens
HEY1_HUMAN.H11MO.0.D,HEY1,Hairy-related factors,Q9Y5J3,HT-SELEX,vertebrates,Homo sapiens
HEY2_HUMAN.H11MO.0.D,HEY2,Hairy-related factors,Q9UBP5,Integrative,vertebrates,Homo sapiens
HIC1_HUMAN.H11MO.0.C,HIC1,Factors with multiple dispersed zinc fingers,Q14526,Integrative,vertebrates,Homo sapiens
HIC2_HUMAN.H11MO.0.D,HIC2,Factors with multiple dispersed zinc fingers,Q96JB3,HT-SELEX,vertebrates,Homo sapiens
HIF1A_HUMAN.H11MO.0.C,HIF1A,PAS domain factors,Q16665,ChIP-Seq,vertebrates,Homo sapiens
